claim,label,selected_pipeline,predicted_label,predicted_justification,predicted_type
"""1.4 million households in the UK use 100% renewable energy from Shell, that its experts were working on a wind project that could power six million homes and that it is fitting 50,000 electric vehicle chargers nationwide by 2025. ""The UK is READY for cleaner energy"" and the hashtag “#PoweringProgress” flashed onscreen in the closing shots of the ads, accompanied by the Shell logo.",greenwashing,RAG,abstain,"The provided context details Shell's sustainability initiatives, including access to energy, renewable energy investments, and targets for EV chargers. However, it does not provide verifiable data to confirm the specific claims made in the advertisement: ""1.4 million households in the UK use 100% renewable energy from Shell,"" ""experts were working on a wind project that could power six million homes,"" and ""fitting 50,000 electric vehicle chargers nationwide by 2025."" While the context suggests Shell is *working* towards these goals, it doesn't confirm they have been achieved or are on track to be achieved by the stated timelines. Therefore, I cannot verify the factual accuracy of the advertisement's claims.",
"""Connecting the world, protecting its future""",greenwashing,RAG,abstain,"The provided context discusses Lufthansa Group's commitment to sustainability, referencing the UN Global Compact, SDGs, and various initiatives. However, the claim ""Connecting the world, protecting its future"" is a broad marketing slogan. While the context details *how* Lufthansa attempts to contribute to a sustainable future, it doesn't provide verifiable evidence to confirm or refute the claim's overall accuracy. It's a statement of intent rather than a factual claim that can be definitively checked.",
"""Delta is the world's first carbon-neutral airline.""",greenwashing,RAG,greenwashing,"The provided context details Delta's commitment to *net-zero* emissions by 2050, and outlines their strategy to achieve this. However, it explicitly states they *refocused* their strategy in 2022 and *concluded their offsetting program* as of March 31, 2022. The claim that Delta is ""the world's first carbon-neutral airline"" is therefore demonstrably false, as they are actively working *towards* net-zero, but are not currently carbon neutral and have discontinued a prior offsetting program. The context highlights their ongoing efforts, but does not support the claim of current carbon neutrality.",Type 4
"""Recyclable, strawless lids for customers across the U.S. and Canada is another step in our journey to reduce our environmental footprint""",greenwashing,RAG,abstain,"The claim states Starbucks is providing ""recyclable, strawless lids."" The provided context details Starbucks' efforts to reduce single-use plastics, including the rollout of PHA straws and work with the NextGen Consortium to improve recyclability. However, it does *not* contain specific information verifying the current recyclability of the lids themselves, nor does it confirm they are universally recyclable across the U.S. and Canada. Therefore, I cannot verify the claim's factual accuracy.",
"100% natural, reusable and biodegradable, the Cork Pot is a carbon-positive piece of packaging, removing over 33 times its weight in carbon dioxide for every single pot. Sourced from southern Portugal, they support re-wilding projects in the region as well as helping your shampoo bars stay dry and last longer. Whether you're heading out on an adventure, travelling to the gym, or just want to do your bit in the bathroom, do something (carbon) positive today and pop a Cork Pot into your basket!",not_greenwashing,GraphRAG,not_greenwashing,"The claim states the Cork Pot is ""carbon-positive, removing over 33 times its weight in carbon dioxide."" While the provided context doesn't directly verify this specific claim about the Cork Pot, it *does* demonstrate Lush's broader commitment to carbon reduction and regenerative practices through initiatives like ""Protect Forests Protect Wildlife"" and ""Make Our Materials Regenerative and Circular."" These initiatives support re-wilding projects and prioritize regenerative farming, which aligns with the idea of carbon sequestration. Additionally, Lush reports KPIs related to CO2 emissions and savings. Therefore, the claim is plausible within the context of Lush's overall sustainability efforts and is not demonstrably false based on the provided information.",
A FUTURE-PROOF ALTERNATIVE THAT'S DISTINCT AND POWERFUL,not_greenwashing,RAG,abstain,"The provided context discusses ""longevity score"" as a KPI for Fairphone, detailing how it's calculated and what factors influence it. However, the claim ""A FUTURE-PROOF ALTERNATIVE THAT'S DISTINCT AND POWERFUL"" is a marketing slogan and lacks specific, verifiable details. I cannot determine if this claim is factually accurate or misleading based on the provided information. The context focuses on the *measurement* of longevity, not a general claim about being ""future-proof"" or ""powerful.""",
"A website for Hyundai, included text which stated “All-New NEXO” and “Introducing the next generation of fuel cell vehicles: All-New NEXO. A car so beautifully clean, it purifies the air as it goes”.",greenwashing,RAG,greenwashing,"The claim states the Hyundai NEXO ""purifies the air as it goes."" While the vehicle *emits* only water vapor, the context does not support the claim that it actively purifies surrounding air. The NEXO's fuel cell technology does not remove pollutants from the air; it simply doesn't produce them during operation. This claim is therefore misleading and contradicted by the provided information, which focuses on emissions reduction rather than air purification.",Type 4
"All our products are over 95% natural origin, without phthalates, parabens, petrolatum, or sodium lauryl sulfate.",not_greenwashing,GraphRAG,not_greenwashing,"The claim states that Burt's Bees products are ""over 95% natural origin, without phthalates, parabens, petrolatum, or sodium lauryl sulfate."" While the provided context doesn't directly confirm this specific percentage for *all* products, it does indicate a focus on ""naturally sourced, sustainable products"" and doesn't contain any information contradicting the claim. Therefore, based on the available information, the claim appears to be factually accurate.",
"At Rituals, we are committed that all our packaging will be refillable recyclable, and/or made from recycled materials by 2025. In 2022 alone, our refills saved 802,587 kg in materials, 32,871 GJ-eq in energy, 1,766 tons of CO 2 -eq, and 19.3M litres of water.",not_greenwashing,RAG,not_greenwashing,"The claim that Rituals is committed to 100% refillable, recyclable, and/or recycled packaging by 2025 is supported by multiple statements within the provided context. The documents detail efforts to reduce packaging materials, increase recycled content (like using 99% PCR aluminum), and promote refill options. The report also highlights quantifiable savings in materials, energy, CO2 emissions, and water usage due to their refill programs in 2022 and 2023. These details demonstrate concrete actions aligning with the stated commitment, indicating the claim is factually accurate based on the provided evidence.",
"A NEW LIFE FOR UNIQLO CLOTHING. “RE.UNIQLO” is a framework that helps maximize the utility of the clothing we make, contributing to a circular society. “REDUCE” used clothing disposal by extending the lifespan of each garment. “REUSE” clothing with new purposes. “RECYCLE” clothing into new products and materials. Clothing has the power to change the future. None of this can happen without your help. Please bring any UNIQLO items you no longer need to a RE.UNIQLO recycling box.",greenwashing,RAG,not_greenwashing,"The provided context details Uniqlo's ""RE.UNIQLO"" framework, which encompasses Reduce, Reuse, and Recycle initiatives. The snippets demonstrate concrete actions like repair/remake services in stores (RE.UNIQLO Studio), clothing donations to refugees, and a commitment to increasing the use of recycled materials (aiming for 50% by 2030). These actions are supported by specific data (number of stores offering repair services, percentage of recycled polyester used) and a timeline of sustainability efforts. The claim that the framework ""contributes to a circular society"" is supported by the described initiatives and goals.",
