claim,gold_label,company,justification,id,model,llm_model_pred,llm_response,llm_raw_label,predicted_justification,full_prompt,predicted_type,llm_label,article_id,model_used
EVgo and Amazon partner to enable voice-initiated EV charging and payment via Alexa.,not_greenwashing,EVgo / Amazon,This is a factual statement describing the new service functionality without making unsubstantiated sustainability claims.,49.0,gemini-2.5-flash,google/gemma-3-27b-it,"Label: abstain
Type: N/A
Justification: The claim states a partnership and a new feature. Without additional context, it is impossible to verify if this partnership exists, or if the feature functions as described. It does not make any environmental claims that can be verified or refuted.",abstain,"The claim states a partnership and a new feature. Without additional context, it is impossible to verify if this partnership exists, or if the feature functions as described. It does not make any environmental claims that can be verified or refuted.","

You are an **ESG (Environmental, Social, and Governance) and Greenwashing Fact-Checker.**

**Task:** Given an ESG-related claim, fact-check it and determine whether it constitutes **greenwashing**, **not_greenwashing**, or if you should **abstain**.

### Fact-Checking Process

**When context is provided below:** Use the provided context as your PRIMARY source of truth. Cross-reference claims against specific information in the context.

**When no context is provided:** Use your internal knowledge to verify factual accuracy. You may only make determinations based on facts you can confidently recall.

**In BOTH cases:** Your decision MUST be based on verifiable facts that either prove or disprove the claim. NEVER judge based on:
- Vague wording or marketing language
- How ""suspicious"" or ""too good to be true"" something sounds  
- Absence of detail (this warrants abstain, not greenwashing)
- Your intuition or reasoning about what ""could be"" misleading

### Decision Criteria

**Greenwashing** - You have specific evidence that the claim is factually false or misleading:
1. **Type 1 - Factually false labels:** You can verify the label/certification is false, doesn't exist, or misrepresents actual standards.
2. **Type 2 - Legal obligations misrepresented as voluntary:** You can verify the action was legally mandated, not a voluntary initiative.
3. **Type 3 - Partial truth presented as whole:** You can verify only part of the product/service meets the stated criteria.
4. **Type 4 - Claims contradicted by evidence:** You have specific facts/evidence that directly contradict the claim.

**Not Greenwashing** - You can verify the claim is factually accurate based on available information (context or knowledge).

**Abstain** - You cannot verify factual accuracy either way. Use this when:
- No context is provided AND you lack sufficient internal knowledge
- Context is provided but doesn't contain information to verify/refute the specific claim
- You cannot confidently determine if the claim is true or false

### Output Format (strictly follow this, no extra text)

Label: <greenwashing / not_greenwashing / abstain>
Type: <Type 1 / Type 2 / Type 3 / Type 4 / N/A>
Justification: <If using context: Quote specific passages and explain how they prove/disprove the claim. If using internal knowledge: State specific facts you know and their sources when possible. If abstaining: State what information is missing.>

### EVALUATION INPUT

<CONTEXT>
[Context may be provided here, or this section may be empty]
</CONTEXT>

<CLAIM>
Claim: The claim at hand
</CLAIM>

<OUTPUT>
Label:
Type:
Justification:
</OUTPUT>


<CLAIM>:
EVgo and Amazon partner to enable voice-initiated EV charging and payment via Alexa.
</CLAIM>",,abstain,,
"Amazon's Alexa now helps EV drivers find, navigate, and pay for charging sessions at EVgo stations.",not_greenwashing,Amazon,"This is a factual description of the new feature's utility for drivers, focusing on convenience rather than an environmental claim.",49.0,gemini-2.5-flash,google/gemma-3-27b-it,"Label: not_greenwashing
Type: N/A
Justification: This claim describes a functional integration between two services (Amazon Alexa and EVgo charging stations). It does not make any environmental claims about sustainability, emissions reductions, or environmental benefits. It simply states a new capability. Therefore, it cannot be considered greenwashing.",not_greenwashing,"This claim describes a functional integration between two services (Amazon Alexa and EVgo charging stations). It does not make any environmental claims about sustainability, emissions reductions, or environmental benefits. It simply states a new capability. Therefore, it cannot be considered greenwashing.","

You are an **ESG (Environmental, Social, and Governance) and Greenwashing Fact-Checker.**

**Task:** Given an ESG-related claim, fact-check it and determine whether it constitutes **greenwashing**, **not_greenwashing**, or if you should **abstain**.

### Fact-Checking Process

**When context is provided below:** Use the provided context as your PRIMARY source of truth. Cross-reference claims against specific information in the context.

**When no context is provided:** Use your internal knowledge to verify factual accuracy. You may only make determinations based on facts you can confidently recall.

**In BOTH cases:** Your decision MUST be based on verifiable facts that either prove or disprove the claim. NEVER judge based on:
- Vague wording or marketing language
- How ""suspicious"" or ""too good to be true"" something sounds  
- Absence of detail (this warrants abstain, not greenwashing)
- Your intuition or reasoning about what ""could be"" misleading

### Decision Criteria

**Greenwashing** - You have specific evidence that the claim is factually false or misleading:
1. **Type 1 - Factually false labels:** You can verify the label/certification is false, doesn't exist, or misrepresents actual standards.
2. **Type 2 - Legal obligations misrepresented as voluntary:** You can verify the action was legally mandated, not a voluntary initiative.
3. **Type 3 - Partial truth presented as whole:** You can verify only part of the product/service meets the stated criteria.
4. **Type 4 - Claims contradicted by evidence:** You have specific facts/evidence that directly contradict the claim.

**Not Greenwashing** - You can verify the claim is factually accurate based on available information (context or knowledge).

**Abstain** - You cannot verify factual accuracy either way. Use this when:
- No context is provided AND you lack sufficient internal knowledge
- Context is provided but doesn't contain information to verify/refute the specific claim
- You cannot confidently determine if the claim is true or false

### Output Format (strictly follow this, no extra text)

Label: <greenwashing / not_greenwashing / abstain>
Type: <Type 1 / Type 2 / Type 3 / Type 4 / N/A>
Justification: <If using context: Quote specific passages and explain how they prove/disprove the claim. If using internal knowledge: State specific facts you know and their sources when possible. If abstaining: State what information is missing.>

### EVALUATION INPUT

<CONTEXT>
[Context may be provided here, or this section may be empty]
</CONTEXT>

<CLAIM>
Claim: The claim at hand
</CLAIM>

<OUTPUT>
Label:
Type:
Justification:
</OUTPUT>


<CLAIM>:
Amazon's Alexa now helps EV drivers find, navigate, and pay for charging sessions at EVgo stations.
</CLAIM>",,not_greenwashing,,
Delta reduced its onboard single-use plastic consumption by approximately 4.9 million pounds in 2022.,not_greenwashing,Delta,"This is a specific, quantifiable achievement directly related to environmental impact, verifiable from the article.",50.0,gemini-2.5-flash,google/gemma-3-27b-it,"Label: not_greenwashing
Type: N/A
Justification: The claim states a specific reduction in single-use plastic consumption (4.9 million pounds) in a specific year (2022). Without any conflicting information, this is a verifiable statement of fact. It doesn't rely on vague language or certifications, nor does it present a partial truth as a whole. It is a straightforward report of a quantity.",not_greenwashing,"The claim states a specific reduction in single-use plastic consumption (4.9 million pounds) in a specific year (2022). Without any conflicting information, this is a verifiable statement of fact. It doesn't rely on vague language or certifications, nor does it present a partial truth as a whole. It is a straightforward report of a quantity.","

You are an **ESG (Environmental, Social, and Governance) and Greenwashing Fact-Checker.**

**Task:** Given an ESG-related claim, fact-check it and determine whether it constitutes **greenwashing**, **not_greenwashing**, or if you should **abstain**.

### Fact-Checking Process

**When context is provided below:** Use the provided context as your PRIMARY source of truth. Cross-reference claims against specific information in the context.

**When no context is provided:** Use your internal knowledge to verify factual accuracy. You may only make determinations based on facts you can confidently recall.

**In BOTH cases:** Your decision MUST be based on verifiable facts that either prove or disprove the claim. NEVER judge based on:
- Vague wording or marketing language
- How ""suspicious"" or ""too good to be true"" something sounds  
- Absence of detail (this warrants abstain, not greenwashing)
- Your intuition or reasoning about what ""could be"" misleading

### Decision Criteria

**Greenwashing** - You have specific evidence that the claim is factually false or misleading:
1. **Type 1 - Factually false labels:** You can verify the label/certification is false, doesn't exist, or misrepresents actual standards.
2. **Type 2 - Legal obligations misrepresented as voluntary:** You can verify the action was legally mandated, not a voluntary initiative.
3. **Type 3 - Partial truth presented as whole:** You can verify only part of the product/service meets the stated criteria.
4. **Type 4 - Claims contradicted by evidence:** You have specific facts/evidence that directly contradict the claim.

**Not Greenwashing** - You can verify the claim is factually accurate based on available information (context or knowledge).

**Abstain** - You cannot verify factual accuracy either way. Use this when:
- No context is provided AND you lack sufficient internal knowledge
- Context is provided but doesn't contain information to verify/refute the specific claim
- You cannot confidently determine if the claim is true or false

### Output Format (strictly follow this, no extra text)

Label: <greenwashing / not_greenwashing / abstain>
Type: <Type 1 / Type 2 / Type 3 / Type 4 / N/A>
Justification: <If using context: Quote specific passages and explain how they prove/disprove the claim. If using internal knowledge: State specific facts you know and their sources when possible. If abstaining: State what information is missing.>

### EVALUATION INPUT

<CONTEXT>
[Context may be provided here, or this section may be empty]
</CONTEXT>

<CLAIM>
Claim: The claim at hand
</CLAIM>

<OUTPUT>
Label:
Type:
Justification:
</OUTPUT>


<CLAIM>:
Delta reduced its onboard single-use plastic consumption by approximately 4.9 million pounds in 2022.
</CLAIM>",,not_greenwashing,,
"Delta announces a ""zero-waste flight"" as part of its sustainability leadership.",not_greenwashing,Delta,"The ""zero-waste flight"" was a specific, one-off challenge flight, not representative of Delta's standard operations, making it an overgeneralization (Type 3) when presented broadly.",50.0,gemini-2.5-flash,google/gemma-3-27b-it,"Label: abstain
Type: N/A
Justification: The claim mentions a ""zero-waste flight"" but provides no details on what constitutes ""zero-waste"" in this context, or what specific measures were taken to achieve this. Without further information, it's impossible to verify if this claim is accurate or misleading. It is unclear if this refers to a single flight, a percentage of waste diverted, or another metric. More information is needed to determine if this is greenwashing, not greenwashing, or simply lacks sufficient detail.",abstain,"The claim mentions a ""zero-waste flight"" but provides no details on what constitutes ""zero-waste"" in this context, or what specific measures were taken to achieve this. Without further information, it's impossible to verify if this claim is accurate or misleading. It is unclear if this refers to a single flight, a percentage of waste diverted, or another metric. More information is needed to determine if this is greenwashing, not greenwashing, or simply lacks sufficient detail.","

You are an **ESG (Environmental, Social, and Governance) and Greenwashing Fact-Checker.**

**Task:** Given an ESG-related claim, fact-check it and determine whether it constitutes **greenwashing**, **not_greenwashing**, or if you should **abstain**.

### Fact-Checking Process

**When context is provided below:** Use the provided context as your PRIMARY source of truth. Cross-reference claims against specific information in the context.

**When no context is provided:** Use your internal knowledge to verify factual accuracy. You may only make determinations based on facts you can confidently recall.

**In BOTH cases:** Your decision MUST be based on verifiable facts that either prove or disprove the claim. NEVER judge based on:
- Vague wording or marketing language
- How ""suspicious"" or ""too good to be true"" something sounds  
- Absence of detail (this warrants abstain, not greenwashing)
- Your intuition or reasoning about what ""could be"" misleading

### Decision Criteria

**Greenwashing** - You have specific evidence that the claim is factually false or misleading:
1. **Type 1 - Factually false labels:** You can verify the label/certification is false, doesn't exist, or misrepresents actual standards.
2. **Type 2 - Legal obligations misrepresented as voluntary:** You can verify the action was legally mandated, not a voluntary initiative.
3. **Type 3 - Partial truth presented as whole:** You can verify only part of the product/service meets the stated criteria.
4. **Type 4 - Claims contradicted by evidence:** You have specific facts/evidence that directly contradict the claim.

**Not Greenwashing** - You can verify the claim is factually accurate based on available information (context or knowledge).

**Abstain** - You cannot verify factual accuracy either way. Use this when:
- No context is provided AND you lack sufficient internal knowledge
- Context is provided but doesn't contain information to verify/refute the specific claim
- You cannot confidently determine if the claim is true or false

### Output Format (strictly follow this, no extra text)

Label: <greenwashing / not_greenwashing / abstain>
Type: <Type 1 / Type 2 / Type 3 / Type 4 / N/A>
Justification: <If using context: Quote specific passages and explain how they prove/disprove the claim. If using internal knowledge: State specific facts you know and their sources when possible. If abstaining: State what information is missing.>

### EVALUATION INPUT

<CONTEXT>
[Context may be provided here, or this section may be empty]
</CONTEXT>

<CLAIM>
Claim: The claim at hand
</CLAIM>

<OUTPUT>
Label:
Type:
Justification:
</OUTPUT>


<CLAIM>:
Delta announces a ""zero-waste flight"" as part of its sustainability leadership.
</CLAIM>",,abstain,,
Delta is using more fuel-efficient A321neo aircraft that save 20% more fuel than older models.,not_greenwashing,Delta,"This is a specific, verifiable improvement in fleet efficiency, a concrete step towards reducing emissions.",50.0,gemini-2.5-flash,google/gemma-3-27b-it,"Label: not_greenwashing
Type: N/A
Justification: This claim aligns with widely available information about the Airbus A321neo aircraft. Airbus consistently states that the A321neo offers at least 20% fuel savings compared to previous generation A321 aircraft. This is due to new engine technology (Pratt & Whitney PW1100G-JM or CFM LEAP-1A) and aerodynamic improvements. Therefore, the claim is factually accurate. (Source: https://www.airbus.com/newsroom/stories/a321neo-family)",not_greenwashing,"This claim aligns with widely available information about the Airbus A321neo aircraft. Airbus consistently states that the A321neo offers at least 20% fuel savings compared to previous generation A321 aircraft. This is due to new engine technology (Pratt & Whitney PW1100G-JM or CFM LEAP-1A) and aerodynamic improvements. Therefore, the claim is factually accurate. (Source: https://www.airbus.com/newsroom/stories/a321neo-family)","

You are an **ESG (Environmental, Social, and Governance) and Greenwashing Fact-Checker.**

**Task:** Given an ESG-related claim, fact-check it and determine whether it constitutes **greenwashing**, **not_greenwashing**, or if you should **abstain**.

### Fact-Checking Process

**When context is provided below:** Use the provided context as your PRIMARY source of truth. Cross-reference claims against specific information in the context.

**When no context is provided:** Use your internal knowledge to verify factual accuracy. You may only make determinations based on facts you can confidently recall.

**In BOTH cases:** Your decision MUST be based on verifiable facts that either prove or disprove the claim. NEVER judge based on:
- Vague wording or marketing language
- How ""suspicious"" or ""too good to be true"" something sounds  
- Absence of detail (this warrants abstain, not greenwashing)
- Your intuition or reasoning about what ""could be"" misleading

### Decision Criteria

**Greenwashing** - You have specific evidence that the claim is factually false or misleading:
1. **Type 1 - Factually false labels:** You can verify the label/certification is false, doesn't exist, or misrepresents actual standards.
2. **Type 2 - Legal obligations misrepresented as voluntary:** You can verify the action was legally mandated, not a voluntary initiative.
3. **Type 3 - Partial truth presented as whole:** You can verify only part of the product/service meets the stated criteria.
4. **Type 4 - Claims contradicted by evidence:** You have specific facts/evidence that directly contradict the claim.

**Not Greenwashing** - You can verify the claim is factually accurate based on available information (context or knowledge).

**Abstain** - You cannot verify factual accuracy either way. Use this when:
- No context is provided AND you lack sufficient internal knowledge
- Context is provided but doesn't contain information to verify/refute the specific claim
- You cannot confidently determine if the claim is true or false

### Output Format (strictly follow this, no extra text)

Label: <greenwashing / not_greenwashing / abstain>
Type: <Type 1 / Type 2 / Type 3 / Type 4 / N/A>
Justification: <If using context: Quote specific passages and explain how they prove/disprove the claim. If using internal knowledge: State specific facts you know and their sources when possible. If abstaining: State what information is missing.>

### EVALUATION INPUT

<CONTEXT>
[Context may be provided here, or this section may be empty]
</CONTEXT>

<CLAIM>
Claim: The claim at hand
</CLAIM>

<OUTPUT>
Label:
Type:
Justification:
</OUTPUT>


<CLAIM>:
Delta is using more fuel-efficient A321neo aircraft that save 20% more fuel than older models.
</CLAIM>",,not_greenwashing,,
"Delta is working to eliminate its climate impact from flying, setting it apart as a sustainability leader.",not_greenwashing,Delta,"""Eliminate its climate impact"" is an extremely strong and currently unachievable claim for an airline, especially when the goal is net-zero by 2050. The claim of being a ""sustainability leader"" is also subjective and unsupported by external benchmarks, fitting Type 4.",50.0,gemini-2.5-flash,google/gemma-3-27b-it,"Label: abstain
Type: N/A
Justification: The claim is broad and lacks specific, verifiable details. While Delta has made sustainability commitments, determining if this constitutes ""eliminating its climate impact"" or being a ""sustainability leader"" requires quantifiable data on emissions reductions, specific initiatives, and comparison to industry peers – information not provided in the context. Without this, it's impossible to verify the claim's accuracy.",abstain,"The claim is broad and lacks specific, verifiable details. While Delta has made sustainability commitments, determining if this constitutes ""eliminating its climate impact"" or being a ""sustainability leader"" requires quantifiable data on emissions reductions, specific initiatives, and comparison to industry peers – information not provided in the context. Without this, it's impossible to verify the claim's accuracy.","

You are an **ESG (Environmental, Social, and Governance) and Greenwashing Fact-Checker.**

**Task:** Given an ESG-related claim, fact-check it and determine whether it constitutes **greenwashing**, **not_greenwashing**, or if you should **abstain**.

### Fact-Checking Process

**When context is provided below:** Use the provided context as your PRIMARY source of truth. Cross-reference claims against specific information in the context.

**When no context is provided:** Use your internal knowledge to verify factual accuracy. You may only make determinations based on facts you can confidently recall.

**In BOTH cases:** Your decision MUST be based on verifiable facts that either prove or disprove the claim. NEVER judge based on:
- Vague wording or marketing language
- How ""suspicious"" or ""too good to be true"" something sounds  
- Absence of detail (this warrants abstain, not greenwashing)
- Your intuition or reasoning about what ""could be"" misleading

### Decision Criteria

**Greenwashing** - You have specific evidence that the claim is factually false or misleading:
1. **Type 1 - Factually false labels:** You can verify the label/certification is false, doesn't exist, or misrepresents actual standards.
2. **Type 2 - Legal obligations misrepresented as voluntary:** You can verify the action was legally mandated, not a voluntary initiative.
3. **Type 3 - Partial truth presented as whole:** You can verify only part of the product/service meets the stated criteria.
4. **Type 4 - Claims contradicted by evidence:** You have specific facts/evidence that directly contradict the claim.

**Not Greenwashing** - You can verify the claim is factually accurate based on available information (context or knowledge).

**Abstain** - You cannot verify factual accuracy either way. Use this when:
- No context is provided AND you lack sufficient internal knowledge
- Context is provided but doesn't contain information to verify/refute the specific claim
- You cannot confidently determine if the claim is true or false

### Output Format (strictly follow this, no extra text)

Label: <greenwashing / not_greenwashing / abstain>
Type: <Type 1 / Type 2 / Type 3 / Type 4 / N/A>
Justification: <If using context: Quote specific passages and explain how they prove/disprove the claim. If using internal knowledge: State specific facts you know and their sources when possible. If abstaining: State what information is missing.>

### EVALUATION INPUT

<CONTEXT>
[Context may be provided here, or this section may be empty]
</CONTEXT>

<CLAIM>
Claim: The claim at hand
</CLAIM>

<OUTPUT>
Label:
Type:
Justification:
</OUTPUT>


<CLAIM>:
Delta is working to eliminate its climate impact from flying, setting it apart as a sustainability leader.
</CLAIM>",,abstain,,
Delta's Carbon Council saved over 10 million gallons of fuel in 2022 through operational efficiencies and fleet modifications.,not_greenwashing,Delta,"This is a specific, quantifiable achievement resulting from internal initiatives, directly contributing to reduced emissions.",50.0,gemini-2.5-flash,google/gemma-3-27b-it,"Label: abstain
Type: N/A
Justification: No context is provided to verify this claim. Without access to Delta's internal data or independent verification reports, it is impossible to confirm whether the stated fuel savings occurred. I lack sufficient internal knowledge to verify this claim.",abstain,"No context is provided to verify this claim. Without access to Delta's internal data or independent verification reports, it is impossible to confirm whether the stated fuel savings occurred. I lack sufficient internal knowledge to verify this claim.","

You are an **ESG (Environmental, Social, and Governance) and Greenwashing Fact-Checker.**

**Task:** Given an ESG-related claim, fact-check it and determine whether it constitutes **greenwashing**, **not_greenwashing**, or if you should **abstain**.

### Fact-Checking Process

**When context is provided below:** Use the provided context as your PRIMARY source of truth. Cross-reference claims against specific information in the context.

**When no context is provided:** Use your internal knowledge to verify factual accuracy. You may only make determinations based on facts you can confidently recall.

**In BOTH cases:** Your decision MUST be based on verifiable facts that either prove or disprove the claim. NEVER judge based on:
- Vague wording or marketing language
- How ""suspicious"" or ""too good to be true"" something sounds  
- Absence of detail (this warrants abstain, not greenwashing)
- Your intuition or reasoning about what ""could be"" misleading

### Decision Criteria

**Greenwashing** - You have specific evidence that the claim is factually false or misleading:
1. **Type 1 - Factually false labels:** You can verify the label/certification is false, doesn't exist, or misrepresents actual standards.
2. **Type 2 - Legal obligations misrepresented as voluntary:** You can verify the action was legally mandated, not a voluntary initiative.
3. **Type 3 - Partial truth presented as whole:** You can verify only part of the product/service meets the stated criteria.
4. **Type 4 - Claims contradicted by evidence:** You have specific facts/evidence that directly contradict the claim.

**Not Greenwashing** - You can verify the claim is factually accurate based on available information (context or knowledge).

**Abstain** - You cannot verify factual accuracy either way. Use this when:
- No context is provided AND you lack sufficient internal knowledge
- Context is provided but doesn't contain information to verify/refute the specific claim
- You cannot confidently determine if the claim is true or false

### Output Format (strictly follow this, no extra text)

Label: <greenwashing / not_greenwashing / abstain>
Type: <Type 1 / Type 2 / Type 3 / Type 4 / N/A>
Justification: <If using context: Quote specific passages and explain how they prove/disprove the claim. If using internal knowledge: State specific facts you know and their sources when possible. If abstaining: State what information is missing.>

### EVALUATION INPUT

<CONTEXT>
[Context may be provided here, or this section may be empty]
</CONTEXT>

<CLAIM>
Claim: The claim at hand
</CLAIM>

<OUTPUT>
Label:
Type:
Justification:
</OUTPUT>


<CLAIM>:
Delta's Carbon Council saved over 10 million gallons of fuel in 2022 through operational efficiencies and fleet modifications.
</CLAIM>",,abstain,,
"Fly Delta for a ""more sustainable future of flying"" with our innovative partnerships.",not_greenwashing,Delta,"""More sustainable future of flying"" is a vague and aspirational phrase (Type 1) that doesn't specify current, concrete environmental benefits for the consumer, relying on future partnerships.",50.0,gemini-2.5-flash,google/gemma-3-27b-it,"Label: abstain
Type: N/A
Justification: The claim is vague and lacks specific, verifiable details. ""More sustainable"" and ""innovative partnerships"" are marketing terms without quantifiable metrics or specific information about Delta's actions. Without context detailing these partnerships or sustainability initiatives, it's impossible to determine if the claim is accurate or misleading. I lack sufficient internal knowledge to verify the claim.",abstain,"The claim is vague and lacks specific, verifiable details. ""More sustainable"" and ""innovative partnerships"" are marketing terms without quantifiable metrics or specific information about Delta's actions. Without context detailing these partnerships or sustainability initiatives, it's impossible to determine if the claim is accurate or misleading. I lack sufficient internal knowledge to verify the claim.","

You are an **ESG (Environmental, Social, and Governance) and Greenwashing Fact-Checker.**

**Task:** Given an ESG-related claim, fact-check it and determine whether it constitutes **greenwashing**, **not_greenwashing**, or if you should **abstain**.

### Fact-Checking Process

**When context is provided below:** Use the provided context as your PRIMARY source of truth. Cross-reference claims against specific information in the context.

**When no context is provided:** Use your internal knowledge to verify factual accuracy. You may only make determinations based on facts you can confidently recall.

**In BOTH cases:** Your decision MUST be based on verifiable facts that either prove or disprove the claim. NEVER judge based on:
- Vague wording or marketing language
- How ""suspicious"" or ""too good to be true"" something sounds  
- Absence of detail (this warrants abstain, not greenwashing)
- Your intuition or reasoning about what ""could be"" misleading

### Decision Criteria

**Greenwashing** - You have specific evidence that the claim is factually false or misleading:
1. **Type 1 - Factually false labels:** You can verify the label/certification is false, doesn't exist, or misrepresents actual standards.
2. **Type 2 - Legal obligations misrepresented as voluntary:** You can verify the action was legally mandated, not a voluntary initiative.
3. **Type 3 - Partial truth presented as whole:** You can verify only part of the product/service meets the stated criteria.
4. **Type 4 - Claims contradicted by evidence:** You have specific facts/evidence that directly contradict the claim.

**Not Greenwashing** - You can verify the claim is factually accurate based on available information (context or knowledge).

**Abstain** - You cannot verify factual accuracy either way. Use this when:
- No context is provided AND you lack sufficient internal knowledge
- Context is provided but doesn't contain information to verify/refute the specific claim
- You cannot confidently determine if the claim is true or false

### Output Format (strictly follow this, no extra text)

Label: <greenwashing / not_greenwashing / abstain>
Type: <Type 1 / Type 2 / Type 3 / Type 4 / N/A>
Justification: <If using context: Quote specific passages and explain how they prove/disprove the claim. If using internal knowledge: State specific facts you know and their sources when possible. If abstaining: State what information is missing.>

### EVALUATION INPUT

<CONTEXT>
[Context may be provided here, or this section may be empty]
</CONTEXT>

<CLAIM>
Claim: The claim at hand
</CLAIM>

<OUTPUT>
Label:
Type:
Justification:
</OUTPUT>


<CLAIM>:
Fly Delta for a ""more sustainable future of flying"" with our innovative partnerships.
</CLAIM>",,abstain,,
Delta commits to purchasing over 2.5 million gallons of Sustainable Aviation Fuel (SAF) through customer partnerships.,not_greenwashing,Delta,"This is a specific, quantifiable commitment to a cleaner fuel source, demonstrating concrete action towards a sustainability goal.",50.0,gemini-2.5-flash,google/gemma-3-27b-it,"Label: abstain
Type: N/A
Justification: The context does not provide information to verify whether Delta is actually purchasing the stated amount of SAF, or if the partnerships are in place. Without further information, it is impossible to determine if this claim is accurate.",abstain,"The context does not provide information to verify whether Delta is actually purchasing the stated amount of SAF, or if the partnerships are in place. Without further information, it is impossible to determine if this claim is accurate.","

You are an **ESG (Environmental, Social, and Governance) and Greenwashing Fact-Checker.**

**Task:** Given an ESG-related claim, fact-check it and determine whether it constitutes **greenwashing**, **not_greenwashing**, or if you should **abstain**.

### Fact-Checking Process

**When context is provided below:** Use the provided context as your PRIMARY source of truth. Cross-reference claims against specific information in the context.

**When no context is provided:** Use your internal knowledge to verify factual accuracy. You may only make determinations based on facts you can confidently recall.

**In BOTH cases:** Your decision MUST be based on verifiable facts that either prove or disprove the claim. NEVER judge based on:
- Vague wording or marketing language
- How ""suspicious"" or ""too good to be true"" something sounds  
- Absence of detail (this warrants abstain, not greenwashing)
- Your intuition or reasoning about what ""could be"" misleading

### Decision Criteria

**Greenwashing** - You have specific evidence that the claim is factually false or misleading:
1. **Type 1 - Factually false labels:** You can verify the label/certification is false, doesn't exist, or misrepresents actual standards.
2. **Type 2 - Legal obligations misrepresented as voluntary:** You can verify the action was legally mandated, not a voluntary initiative.
3. **Type 3 - Partial truth presented as whole:** You can verify only part of the product/service meets the stated criteria.
4. **Type 4 - Claims contradicted by evidence:** You have specific facts/evidence that directly contradict the claim.

**Not Greenwashing** - You can verify the claim is factually accurate based on available information (context or knowledge).

**Abstain** - You cannot verify factual accuracy either way. Use this when:
- No context is provided AND you lack sufficient internal knowledge
- Context is provided but doesn't contain information to verify/refute the specific claim
- You cannot confidently determine if the claim is true or false

### Output Format (strictly follow this, no extra text)

Label: <greenwashing / not_greenwashing / abstain>
Type: <Type 1 / Type 2 / Type 3 / Type 4 / N/A>
Justification: <If using context: Quote specific passages and explain how they prove/disprove the claim. If using internal knowledge: State specific facts you know and their sources when possible. If abstaining: State what information is missing.>

### EVALUATION INPUT

<CONTEXT>
[Context may be provided here, or this section may be empty]
</CONTEXT>

<CLAIM>
Claim: The claim at hand
</CLAIM>

<OUTPUT>
Label:
Type:
Justification:
</OUTPUT>


<CLAIM>:
Delta commits to purchasing over 2.5 million gallons of Sustainable Aviation Fuel (SAF) through customer partnerships.
</CLAIM>",,abstain,,
"Delta is committed to achieving net zero emissions by 2050, aligning with global climate goals.",not_greenwashing,Delta,"While a positive goal, setting a net-zero target by 2050 is increasingly a standard expectation for large corporations, often driven by international agreements and national policies, rather than a unique, voluntary achievement (Type 2).",50.0,gemini-2.5-flash,google/gemma-3-27b-it,"Label: abstain
Type: N/A
Justification: While Delta has stated a commitment to net-zero emissions by 2050, there is no context provided to verify the specifics of this commitment (e.g., scope of emissions covered, planned actions, progress to date). Without further information, it's impossible to determine if this claim is accurate or misleading. I lack sufficient internal knowledge to verify this claim independently.",abstain,"While Delta has stated a commitment to net-zero emissions by 2050, there is no context provided to verify the specifics of this commitment (e.g., scope of emissions covered, planned actions, progress to date). Without further information, it's impossible to determine if this claim is accurate or misleading. I lack sufficient internal knowledge to verify this claim independently.","

You are an **ESG (Environmental, Social, and Governance) and Greenwashing Fact-Checker.**

**Task:** Given an ESG-related claim, fact-check it and determine whether it constitutes **greenwashing**, **not_greenwashing**, or if you should **abstain**.

### Fact-Checking Process

**When context is provided below:** Use the provided context as your PRIMARY source of truth. Cross-reference claims against specific information in the context.

**When no context is provided:** Use your internal knowledge to verify factual accuracy. You may only make determinations based on facts you can confidently recall.

**In BOTH cases:** Your decision MUST be based on verifiable facts that either prove or disprove the claim. NEVER judge based on:
- Vague wording or marketing language
- How ""suspicious"" or ""too good to be true"" something sounds  
- Absence of detail (this warrants abstain, not greenwashing)
- Your intuition or reasoning about what ""could be"" misleading

### Decision Criteria

**Greenwashing** - You have specific evidence that the claim is factually false or misleading:
1. **Type 1 - Factually false labels:** You can verify the label/certification is false, doesn't exist, or misrepresents actual standards.
2. **Type 2 - Legal obligations misrepresented as voluntary:** You can verify the action was legally mandated, not a voluntary initiative.
3. **Type 3 - Partial truth presented as whole:** You can verify only part of the product/service meets the stated criteria.
4. **Type 4 - Claims contradicted by evidence:** You have specific facts/evidence that directly contradict the claim.

**Not Greenwashing** - You can verify the claim is factually accurate based on available information (context or knowledge).

**Abstain** - You cannot verify factual accuracy either way. Use this when:
- No context is provided AND you lack sufficient internal knowledge
- Context is provided but doesn't contain information to verify/refute the specific claim
- You cannot confidently determine if the claim is true or false

### Output Format (strictly follow this, no extra text)

Label: <greenwashing / not_greenwashing / abstain>
Type: <Type 1 / Type 2 / Type 3 / Type 4 / N/A>
Justification: <If using context: Quote specific passages and explain how they prove/disprove the claim. If using internal knowledge: State specific facts you know and their sources when possible. If abstaining: State what information is missing.>

### EVALUATION INPUT

<CONTEXT>
[Context may be provided here, or this section may be empty]
</CONTEXT>

<CLAIM>
Claim: The claim at hand
</CLAIM>

<OUTPUT>
Label:
Type:
Justification:
</OUTPUT>


<CLAIM>:
Delta is committed to achieving net zero emissions by 2050, aligning with global climate goals.
</CLAIM>",,abstain,,
